branch,date,plan_type,10:00-10:10,10:00-10:10_template_column,12:00-12:10,12:00-12:10_template_column,14:00-14:10,14:00-14:10_template_column,16:00-16:10,16:00-16:10_template_column,18:00-18:10,18:00-18:10_template_column,20:00-20:10,20:00-20:10_template_column,display_window_energy_kwh,display_window_plan_cost_yuan,display_window_adjustment_surcharge_yuan
4-2,2025-09-25,original,0.0,61,520.667042672324,73,0.0,85,581.1802818708192,97,0.0,109,40.59985996290072,121,66679.28862655911,43788.77934109642,0.0
4-2,2025-09-26,original,0.0,61,0.0,73,0.0,85,151.59602328238373,97,0.0,109,0.0,121,32943.80820288222,14815.881906786966,0.0
4-2,2025-09-27,original,0.0,61,0.0,73,0.0,85,58.224435703238896,97,0.0,109,0.0,121,32003.654547450256,14862.586849550895,0.0
4-2,2025-09-28,original,0.0,61,488.2341849631248,73,0.0,85,680.7174402984447,97,0.0,109,220.77735957175253,121,68890.32702895245,46027.60757887057,0.0
4-2,2025-09-29,original,0.0,61,473.2664533837931,73,0.0,85,638.9604590755314,97,0.0,109,600.9294958583023,121,69281.96359569079,45632.71118956158,0.0
4-2,2025-09-30,original,0.0,61,405.2957844150162,73,0.0,85,631.6896042209237,97,0.0,109,630.926797977533,121,69403.8797103554,45775.305686680236,0.0
4-2,2025-10-01,original,54.28492977932015,61,459.85210283277115,73,0.0,85,640.9321302847347,97,0.0,109,675.1016066030878,121,71139.79496850575,45147.10216212107,0.0
4-2,2025-10-02,original,0.0,61,332.55579694109554,73,0.0,85,613.2434096316521,97,0.0,109,578.5540866059779,121,62056.92625821511,39443.34168828257,0.0
4-2,2025-10-03,original,0.0,61,0.0,73,0.0,85,81.03064559224381,97,0.0,109,0.0,121,32310.164493331988,13941.793687631125,0.0
4-2,2025-10-04,original,0.0,61,0.0,73,0.0,85,0.0,97,0.0,109,0.0,121,30072.335082309648,12626.42741869041,0.0
4-2,2025-10-05,original,0.0,61,341.13276299795507,73,0.0,85,530.7478046686084,97,0.0,109,653.3158094508416,121,62814.4870073951,39674.68320904064,0.0
4-2,2025-10-06,original,0.0,61,350.11139414798845,73,0.0,85,526.362628239739,97,0.0,109,644.1309056556876,121,64121.63357201763,40666.42375498764,0.0
4-2,2025-10-07,original,0.0,61,444.3977311978085,73,0.0,85,555.6059342483165,97,0.0,109,631.7835153395691,121,64567.54805503237,40577.97007382897,0.0
4-2,2025-10-08,original,0.0,61,432.1367394212193,73,0.0,85,533.8092868652875,97,0.0,109,619.4064911144644,121,63927.83868462121,40528.29992967926,0.0
4-2,2025-10-09,original,0.0,61,503.05722619237906,73,0.0,85,541.9089280269037,97,0.0,109,639.7131636815143,121,63364.440669530246,39871.383681177846,0.0
4-2,2025-10-10,original,0.0,61,0.0,73,0.0,85,17.73701820676058,97,0.0,109,0.0,121,32028.317429403327,13148.332131763127,0.0
4-2,2025-10-11,original,0.0,61,0.0,73,0.0,85,51.432002841586424,97,0.0,109,0.0,121,31737.41501863512,13188.957575030898,0.0
4-2,2025-10-12,original,0.0,61,392.34922823660133,73,0.0,85,560.8701650897394,97,0.0,109,632.7061895512431,121,64481.89478396712,40724.38403197349,0.0
4-2,2025-10-13,original,0.0,61,421.73575751833255,73,0.0,85,582.9184962571342,97,0.0,109,649.1514829756837,121,65147.756792758526,41137.31007501049,0.0
4-2,2025-10-14,original,0.0,61,421.0956335366742,73,0.0,85,579.141873025792,97,0.0,109,653.9368694079132,121,64502.43570341932,41230.25769932348,0.0
4-2,2025-10-15,original,0.0,61,338.8560558366455,73,0.0,85,590.1570860311576,97,0.0,109,704.5710631566005,121,65961.34266994864,42146.72471005666,0.0
4-2,2025-10-16,original,0.0,61,370.5265514444478,73,0.0,85,572.6634042176447,97,0.0,109,693.0267199444162,121,67350.17816714713,43184.87761420934,0.0
4-2,2025-10-17,original,0.0,61,0.0,73,0.0,85,182.19793939946464,97,0.0,109,0.0,121,32724.642134309644,13965.764981020675,0.0
4-2,2025-10-18,original,0.0,61,0.0,73,0.0,85,175.04409401861153,97,0.0,109,0.0,121,32897.93414258321,13766.08030167969,0.0
4-2,2025-10-19,original,0.0,61,397.7396066295464,73,0.0,85,641.7780858561141,97,0.0,109,699.8571241324737,121,68788.48070954302,44600.69095334301,0.0
4-2,2025-10-20,original,0.0,61,360.4177699377673,73,0.0,85,660.0128219353081,97,0.0,109,714.8366161597097,121,69684.45982455017,45229.34468149228,0.0
4-2,2025-10-21,original,0.0,61,388.9888303402696,73,0.0,85,642.3999219289203,97,0.0,109,713.8925938291633,121,70325.1197121952,46116.39770909256,0.0
4-2,2025-10-22,original,0.0,61,455.6124367865849,73,0.0,85,638.9845368493336,97,0.0,109,705.19429491483,121,72091.64180899496,47027.51882928694,0.0
4-2,2025-10-23,original,38.13799655716788,61,461.7002678350001,73,0.0,85,640.3965871526337,97,0.0,109,681.3813699042144,121,71296.95382011952,46455.902944050686,0.0
4-2,2025-10-24,original,0.0,61,0.0,73,0.0,85,128.12499310537441,97,0.0,109,0.0,121,32903.69072596421,13585.48756907617,0.0
4-2,2025-10-25,original,0.0,61,0.0,73,0.0,85,169.07536759416448,97,0.0,109,0.0,121,33895.415325410126,14097.608774272032,0.0
4-2,2025-10-26,original,24.59133369611368,61,490.11966653270736,73,0.0,85,649.2345777476224,97,0.0,109,646.3776203332287,121,70640.04225217129,46053.31801259924,0.0
4-2,2025-10-27,original,42.597721890577354,61,511.6350887757196,73,0.0,85,628.9442445154276,97,0.0,109,0.0,121,70816.92764141074,46033.27482153003,0.0
4-2,2025-10-28,original,65.05673040066495,61,433.0329517980781,73,0.0,85,678.7401419515733,97,0.0,109,0.0,121,69990.59116831291,46048.68535899166,0.0
4-2,2025-10-29,original,0.0,61,440.6282196177011,73,0.0,85,689.2818696696172,97,0.0,109,0.0,121,71533.07716621995,46976.69268941702,0.0
4-2,2025-10-30,original,125.51817316096844,61,535.5043148284294,73,0.0,85,687.243098661258,97,0.0,109,0.0,121,73589.8673989148,49119.94368769807,0.0
4-2,2025-10-31,original,0.0,61,0.0,73,0.0,85,205.6036307326434,97,0.0,109,0.0,121,34121.869489859266,14328.24508924271,0.0
4-2,2025-11-01,original,0.0,61,0.0,73,0.0,85,220.38892113971798,97,0.0,109,0.0,121,34182.68644273335,14366.533478872421,0.0
4-2,2025-11-02,original,62.90081245091455,61,585.9975538662821,73,0.0,85,721.5912260225368,97,0.0,109,0.0,121,74917.26316864905,49695.986921171156,0.0
4-2,2025-11-03,original,82.00688847007973,61,534.0723979549897,73,0.0,85,695.5677748600503,97,0.0,109,0.0,121,76634.99185885751,50992.05879518698,0.0
4-2,2025-11-04,original,125.9929813708161,61,596.9064829348974,73,0.0,85,687.6492226036894,97,0.0,109,0.0,121,75511.0325546574,50401.40703205469,0.0
4-2,2025-11-05,original,127.52244923721628,61,535.3211281130874,73,0.0,85,689.5840699826101,97,0.0,109,0.0,121,75038.30346421839,50628.84679783794,0.0
4-2,2025-11-06,original,155.72338500000598,61,588.4253770176505,73,0.0,85,703.2984543273495,97,0.0,109,0.0,121,75108.08935719196,51160.54946631756,0.0
4-2,2025-11-07,original,0.0,61,0.0,73,0.0,85,237.10822321760003,97,0.0,109,0.0,121,34823.509988663005,14668.446737019822,0.0
4-2,2025-11-08,original,0.0,61,0.0,73,0.0,85,196.89230188515086,97,0.0,109,0.0,121,35279.954665345336,15024.883174588835,0.0
4-2,2025-11-09,original,127.14037528627796,61,610.2866522957095,73,0.0,85,671.1645115531605,97,0.0,109,0.0,121,75953.52599739001,51485.22501769183,0.0
4-2,2025-11-10,original,80.70310034040222,61,637.055667544903,73,0.0,85,687.997548786888,97,0.0,109,0.0,121,77596.58889538996,53274.785107312695,0.0
