branch,issue_hour,month,event_count,position_count,mae_yuan_per_kwh,rmse_yuan_per_kwh,bias_forecast_minus_actual,peak_threshold_yuan_per_kwh,peak_mae_yuan_per_kwh,max_absolute_error_yuan_per_kwh,forecast_floor_trigger_rate,fallback_event_count
4-2,12,10,31,4464,0.057178467043541514,0.07585801377958049,0.010290223189875557,1.24905,0.1305370262291505,0.29633442647615604,0.0,0
4-2,12,11,30,4320,0.058671349509234166,0.07871983295459968,0.025453009554136825,1.24905,0.1310478107032406,0.3699131625831904,0.0,0
4-2,12,12,31,4392,0.060436689732621215,0.08456447571084036,0.0021871836039500797,1.24905,0.0897252598238081,0.4054108177100455,0.0,0
4-2,18,2,28,4032,0.05370514095296461,0.07610663572865276,0.027964382991572032,1.24905,0.07943839658555314,0.34940449654140004,0.0,0
4-2,18,3,31,4464,0.041250163088344616,0.05463450581498323,0.005706103555857446,1.24905,0.028367472485905782,0.2667962751793308,0.0,0
4-2,18,4,30,4320,0.04268602168990843,0.05600552799236756,-0.004309602846356164,1.24905,0.033516351441736106,0.27255013520597526,0.0,0
4-2,18,5,31,4464,0.04312068313586517,0.05656830536934057,-0.004426623369320654,1.24905,0.03370161334367468,0.28269625508196633,0.0,0
4-2,18,6,30,4320,0.050158985473991356,0.06614291662239655,-0.010134306200164516,1.24905,0.038341629775166086,0.36895950876639194,0.0,0
4-2,18,7,31,4464,0.057384286241245384,0.07837465426241219,-0.02388468524365156,1.24905,0.11058534995793251,0.358008426101146,0.0,0
4-2,18,8,31,4464,0.04760447675609711,0.06325853043164015,0.005929707595162496,1.24905,0.050251299490966905,0.37705905262217565,0.0,0
4-2,18,9,30,4320,0.06504257859558901,0.08821073645538326,0.024659687175649505,1.24905,0.12987190605635615,0.39251232674824166,0.0,0
4-2,18,10,31,4464,0.04354533411109759,0.05562115389490194,-0.007088190588536189,1.24905,0.039777456003526855,0.22084190776482665,0.0,0
4-2,18,11,30,4320,0.04488913994491572,0.05862275435756801,-0.007732388430363135,1.24905,0.046989878836388596,0.3700211266628848,0.0,0
4-2,18,12,31,4356,0.05886097330179846,0.08395259473011715,-0.03247942399982717,1.24905,0.10565891249015877,0.40564798396074075,0.0,0
4-3,0,2,28,4032,0.052117007134377856,0.07468543407523662,0.017057040318051407,1.24905,0.08075147982060228,0.3429108544359012,0.0,0
4-3,0,3,31,4464,0.04140830365608395,0.05684267342253804,-0.0017674536411183266,1.24905,0.023347311928978785,0.26663793469576824,0.0,0
4-3,0,4,30,4320,0.042674547023778854,0.05793268964277048,-0.0063246419172922255,1.24905,0.02438951488436414,0.2686926580752031,0.0,0
4-3,0,5,31,4464,0.04440370356089588,0.05830630931726637,-0.0005537713635637169,1.24905,0.04732422207062005,0.2801197669342367,0.0,0
4-3,0,6,30,4320,0.05280771577238135,0.06899804805956267,0.0056674471483036,1.24905,0.10545416593287331,0.2668832754953874,0.0,0
4-3,0,7,31,4464,0.05847135043149535,0.08337755260300765,-0.02721562151180042,1.24905,0.1208428511994612,0.4889798618639183,0.0,0
4-3,0,8,31,4464,0.048241675648764686,0.06532568333662411,-0.004374492704803263,1.24905,0.07229256417239727,0.2622131127058004,0.0,0
4-3,0,9,30,4320,0.0657639368135452,0.09070370027614594,0.023461501661377282,1.24905,0.1714203592017783,0.47470882992132246,0.0,0
4-3,0,10,31,4464,0.04839882927187299,0.0621253785205771,0.005812576321065897,1.24905,0.09529332994598633,0.2439310965079804,0.0,0
4-3,0,11,30,4320,0.04661429386536475,0.05984560065750418,0.005881911744169765,1.24905,0.08198102634180242,0.19766315923931943,0.0,0
4-3,0,12,31,4464,0.052209504982498316,0.07544872568940839,-0.015441024213435761,1.24905,0.08900712816714018,0.3637113130252243,0.0,0
4-3,6,2,28,4032,0.05809149423284723,0.08213264362388695,0.030964796268553405,1.24905,0.0870483012328264,0.30238537165242163,0.0,0
4-3,6,3,31,4464,0.04591195783146653,0.06244106782348885,0.005078166798633713,1.24905,0.025646437411415986,0.2824127793474348,0.0,0
4-3,6,4,30,4320,0.04429819401345487,0.059769270156479454,-0.0030548996376004948,1.24905,0.02617920544397692,0.26743519951699973,0.0,0
4-3,6,5,31,4464,0.047202757552230516,0.062066244451548375,-0.01233717503618885,1.24905,0.03988995203910854,0.28162262113654063,0.0,0
4-3,6,6,30,4320,0.05964985411640119,0.07711918085971921,-0.021997719104464995,1.24905,0.07800286577707481,0.3062058105612294,0.0,0
4-3,6,7,31,4464,0.06029346913032609,0.08450038348599655,-0.02646136715634999,1.24905,0.12083252735899636,0.4398704758186345,0.0,0
4-3,6,8,31,4464,0.05349609269207831,0.0711857244632895,0.013059079147822731,1.24905,0.07804933615885176,0.2991006956179345,0.0,0
4-3,6,9,30,4320,0.07010847693585158,0.0975668542757586,0.03954018396980256,1.24905,0.18424372189551222,0.4336195445042945,0.0,0
4-3,6,10,31,4464,0.05440660814439094,0.0696890922142651,0.000691633438988435,1.24905,0.0845174957414473,0.26736631248919607,0.0,0
4-3,6,11,30,4320,0.05326426447476405,0.06794584443891787,-0.009328060789736194,1.24905,0.07638663679727498,0.2382273485804527,0.0,0
4-3,6,12,31,4428,0.056137224538475576,0.08040957239052968,-0.02589371801524195,1.24905,0.097235920871269,0.36194571229741235,0.0,0
4-3,12,2,28,4032,0.05850284369260288,0.08269405508289196,0.007324368668323052,1.24905,0.08597587528165596,0.3208301625604437,0.0,0
4-3,12,3,31,4464,0.04968196575477381,0.07226294726496449,-0.011643716714211421,1.24905,0.033195267856391854,0.3450535520862088,0.0,0
4-3,12,4,30,4320,0.05337079919452209,0.07631929778655695,-0.005399166131538935,1.24905,0.054323082407440985,0.4378496676771282,0.0002314814814814815,0
4-3,12,5,31,4464,0.055432213911173644,0.07507820109451045,0.003503634894216032,1.24905,0.08345605301880887,0.33835004496695464,0.0,0
4-3,12,6,30,4320,0.06437252826683862,0.08556685238869083,0.02547648647223871,1.24905,0.16463836451667607,0.37471354288276026,0.0,0
4-3,12,7,31,4464,0.06659287539120992,0.09739288546781877,-0.03317600049948158,1.24905,0.13815329345546062,0.5751374880156602,0.0,0
4-3,12,8,31,4464,0.05940491720950333,0.0858710552796249,-0.015411174585520908,1.24905,0.11229885609611355,0.43159148272686143,0.0,0
4-3,12,9,30,4320,0.07584820479708335,0.10536300783346325,0.03396949854657595,1.24905,0.2143161976163704,0.47512019843529396,0.0,0
4-3,12,10,31,4464,0.056938978987349446,0.0756468459823276,0.011015015794789744,1.24905,0.1302355561909959,0.2979609897647437,0.0,0
4-3,12,11,30,4320,0.05870638506380902,0.07875076999378862,0.02600019704568246,1.24905,0.13054737587601425,0.3679946830767691,0.0,0
4-3,12,12,31,4392,0.06028879909796054,0.08432599645158304,0.0027796944413524165,1.24905,0.08914913197864487,0.3997713961738685,0.0,0
4-3,18,2,28,4032,0.053601867143584635,0.07602404456972667,0.02803263036209042,1.24905,0.0795633900442914,0.3434896425941598,0.0,0
4-3,18,3,31,4464,0.04103759755541813,0.05425655990048731,0.0054354104098576685,1.24905,0.028587363556646105,0.2661646311480951,0.0,0
4-3,18,4,30,4320,0.04233387611590754,0.05543863194640058,-0.0031507891104486166,1.24905,0.03345686404406816,0.2724265283176792,0.0,0
4-3,18,5,31,4464,0.04294127660326282,0.056243547460759165,-0.002941802714913329,1.24905,0.03376122055750989,0.2777585709835273,0.0,0
4-3,18,6,30,4320,0.049673614260525224,0.06529514354346883,-0.009150041874283596,1.24905,0.03849622656552981,0.37873440413414916,0.0,0
4-3,18,7,31,4464,0.057401194895955764,0.07827617254771822,-0.02351420157821337,1.24905,0.11029094541057548,0.3596654439497875,0.0,0
4-3,18,8,31,4464,0.046905106971752854,0.06252906433248778,0.0073184783004787484,1.24905,0.04994403481568091,0.38488411222369556,0.0,0
4-3,18,9,30,4320,0.06482842726088128,0.08801945186119456,0.0258247957598801,1.24905,0.12994327356304025,0.3963655977384386,0.0,0
4-3,18,10,31,4464,0.04328299606633681,0.05534677281196567,-0.006065415727936178,1.24905,0.03971592200238553,0.2194787056918701,0.0,0
4-3,18,11,30,4320,0.044822254999747686,0.05852462427283194,-0.006931293649124344,1.24905,0.04707009663363656,0.37425050538805804,0.0,0
4-3,18,12,31,4356,0.058741917384575494,0.08373131447065289,-0.03191135646552872,1.24905,0.10543145235604667,0.40431630652829553,0.0,0
