date,t,g0_kwh,geff_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_soc_kwh,ana_charge_kwh,ana_discharge_kwh,ana_emergency_kwh,ana_unused_kwh,ana_soc_kwh
2025-09-26,92,0.0,0.0,0.0,0.0,0.0,189.39741666666657,10800.0,0.0,0.0,0.0,189.39741666666657,10800.0
2025-09-26,93,0.0,0.0,0.0,0.0,0.0,161.58458333333328,10800.0,0.0,0.0,0.0,161.58458333333328,10800.0
2025-09-26,94,0.0,0.0,0.0,0.0,0.0,131.4328833333334,10800.0,0.0,0.0,0.0,131.4328833333334,10800.0
2025-09-26,95,0.0,0.0,0.0,0.0,0.0,88.05341666666675,10800.0,0.0,0.0,0.0,88.05341666666675,10800.0
2025-09-26,96,92.02706813142632,79.51815296359018,0.0,0.0,0.0,95.54106963025686,10800.0,0.0,0.0,0.0,95.54106963025686,10800.0
2025-09-26,97,119.84457005456005,119.84457005456005,0.0,0.0,0.0,34.042770054560094,10800.0,0.0,0.0,0.0,34.042770054560094,10800.0
2025-09-26,98,173.00150603460202,173.00150603460202,0.0,0.0,0.0,13.246472701268715,10800.0,0.0,0.0,0.0,13.246472701268715,10800.0
2025-09-26,99,203.43170163498252,203.43170163498252,0.0,0.0,0.0,3.7946183016492228,10800.0,0.0,0.0,0.0,3.7946183016492228,10800.0
2025-09-26,100,262.2754774118499,262.2754774118499,0.0,0.0,0.0,15.120277411849884,10800.0,0.0,0.0,0.0,15.120277411849884,10800.0
2025-09-26,101,302.20245854224845,296.25273232495675,0.0,0.0,0.0,23.59409899162341,10800.0,0.0,0.0,0.0,23.59409899162341,10800.0
2025-09-26,102,290.9318517860467,290.9318517860467,0.0,0.0,0.0,23.484768452713354,10800.0,0.0,0.0,0.0,23.484768452713354,10800.0
2025-09-26,103,319.6559069847693,319.6559069847693,0.0,0.0,0.0,54.14712365143595,10800.0,0.0,0.0,0.0,54.14712365143595,10800.0
2025-09-26,104,361.3515314707314,361.3515314707314,0.0,0.0,0.0,50.63699813739811,10800.0,0.0,0.0,0.0,50.63699813739811,10800.0
2025-09-26,105,393.1468645862748,393.1468645862748,0.0,0.0,0.0,7.948531252941507,10800.0,0.0,0.0,0.0,7.948531252941507,10800.0
2025-09-26,106,459.1823010652819,459.1823010652819,0.0,0.0,0.0,35.34438439861526,10800.0,0.0,0.0,0.0,35.34438439861526,10800.0
2025-09-26,107,507.7584236825247,507.7584236825247,0.0,0.0,0.0,79.13454034919141,10800.0,0.0,0.0,0.0,79.13454034919141,10800.0
2025-09-26,108,417.7548195240436,417.7548195240436,0.0,25.051847142623775,0.0,7.283063041541027e-13,10772.164614285974,0.0,25.051847142623046,0.0,0.0,10772.164614285974
2025-09-26,109,0.0,0.0,0.0,499.0825833333327,6.252776074688882e-13,0.0,10217.62841058227,0.0,499.08258333333333,0.0,0.0,10217.62841058227
2025-09-26,110,286.0315937272137,154.66652759975705,0.0,354.35388906691026,0.0,6.252776074688882e-13,9823.901867174593,0.0,354.35388906690963,0.0,0.0,9823.901867174593
2025-09-26,111,0.0,0.0,0.0,476.25666666666604,6.252776074688882e-13,0.0,9294.72779310052,0.0,476.25666666666666,0.0,0.0,9294.72779310052
2025-09-26,112,0.0,0.0,0.0,500.6590333333341,0.0,7.389644451905042e-13,8738.439978285704,0.0,500.65903333333335,0.0,0.0,8738.439978285704
2025-09-26,113,0.0,0.0,0.0,522.0306166666668,0.0,2.2737367544323206e-13,8158.405959767185,0.0,522.0306166666666,0.0,0.0,8158.405959767185
2025-09-26,114,0.0,0.0,0.0,514.0399999999996,3.410605131648481e-13,0.0,7587.25040421163,0.0,514.04,0.0,0.0,7587.25040421163
2025-09-26,115,0.0,0.0,0.0,516.4356999999995,4.547473508864641e-13,0.0,7013.432959767186,0.0,516.4357,0.0,0.0,7013.432959767186
2025-09-26,116,0.0,0.0,0.0,528.7741999999997,2.2737367544323206e-13,0.0,6425.906070878297,0.0,528.7742,0.0,0.0,6425.906070878297
2025-09-26,117,0.0,0.0,0.0,531.9199999999997,2.2737367544323206e-13,0.0,5834.883848656075,0.0,531.92,0.0,0.0,5834.883848656075
2025-09-26,118,0.0,0.0,0.0,515.8230166666668,0.0,2.2737367544323206e-13,5261.74716347089,0.0,515.8230166666666,0.0,0.0,5261.74716347089
2025-09-26,119,0.0,0.0,0.0,533.7458833333333,0.0,0.0,4668.696181989409,0.0,533.7458833333333,0.0,0.0,4668.696181989409
2025-09-26,120,0.0,0.0,0.0,562.1766666666665,1.1368683772161603e-13,0.0,4044.055441248668,0.0,562.1766666666666,0.0,0.0,4044.055441248668
2025-09-26,121,0.0,0.0,0.0,523.2917000000001,0.0,1.1368683772161603e-13,3462.6202190264457,0.0,523.2917,0.0,0.0,3462.6202190264457
2025-09-26,122,0.0,0.0,0.0,489.46133333333313,1.7053025658242404e-13,0.0,2918.77429310052,0.0,489.4613333333333,0.0,0.0,2918.77429310052
2025-09-26,123,0.0,0.0,0.0,496.6099999999999,5.684341886080802e-14,0.0,2366.9854042116312,0.0,496.60999999999996,0.0,0.0,2366.9854042116312
2025-09-26,124,0.0,0.0,0.0,509.7171666666666,0.0,0.0,1800.632996804224,0.0,509.7171666666666,0.0,0.0,1800.632996804224
2025-09-26,125,504.5584310483191,504.5584310483191,0.0,6.684502285014128,9.059419880941277e-14,0.0,1793.205772043097,0.0,6.684502285014219,0.0,0.0,1793.205772043097
2025-09-26,126,617.8861713488584,617.8861713488584,101.50950468219182,0.0,8.526512829121202e-14,0.0,1884.5643262570698,101.50950468219173,0.0,0.0,0.0,1884.5643262570698
2025-09-26,127,521.3145006414072,521.3145006414072,0.0,23.70026602525943,2.1316282072803006e-14,0.0,1858.2306973401148,0.0,23.700266025259452,0.0,0.0,1858.2306973401148
2025-09-26,128,474.7565347938614,474.7565347938614,0.0,56.23501520613852,2.1316282072803006e-14,0.0,1795.747347111072,0.0,56.23501520613854,0.0,0.0,1795.747347111072
2025-09-26,129,517.2539481948779,517.2539481948779,11.52728152821131,0.0,7.638334409421077e-14,0.0,1806.1219004864622,11.527281528211233,0.0,0.0,0.0,1806.1219004864622
2025-09-26,130,465.833145073418,465.833145073418,0.0,96.02970492658206,0.0,7.105427357601002e-14,1699.4222283458155,0.0,96.02970492658199,0.0,0.0,1699.4222283458155
2025-09-26,131,477.3548244318738,477.3548244318738,0.0,89.02580890145957,0.0,4.263256414560601e-14,1600.5046628997493,0.0,89.02580890145953,0.0,0.0,1600.5046628997493
2025-09-26,132,1184.7449610566575,1184.7449610566575,695.6116277233241,0.0,0.0,1.1368683772161603e-13,2226.555127850741,695.6116277233242,0.0,0.0,0.0,2226.555127850741
2025-09-26,133,1211.4823948497283,1211.4823948497283,771.9854281830617,0.0,0.0,0.0,2921.3420132154965,771.9854281830617,0.0,0.0,0.0,2921.3420132154965
2025-09-26,134,472.19632927029966,472.19632927029966,31.142245936966397,0.0,6.394884621840902e-14,0.0,2949.3700345587663,31.142245936966333,0.0,0.0,0.0,2949.3700345587663
2025-09-26,135,1189.7402435632766,1189.7402435632766,729.2902435632767,0.0,0.0,0.0,3605.7312537657153,729.2902435632767,0.0,0.0,0.0,3605.7312537657153
2025-09-26,136,1149.7852825003363,1149.7852825003363,699.119699167003,0.0,0.0,0.0,4234.938983016018,699.119699167003,0.0,0.0,0.0,4234.938983016018
2025-09-26,137,533.3118407192238,533.3118407192238,90.36257405255735,0.0,1.5631940186722204e-13,0.0,4316.26529966332,90.36257405255719,0.0,0.0,0.0,4316.26529966332
2025-09-26,138,1047.676305042221,1047.676305042221,604.0346383755544,0.0,1.1368683772161603e-13,0.0,4859.896474201319,604.0346383755543,0.0,0.0,0.0,4859.896474201319
2025-09-26,139,478.8235551349428,478.8235551349428,51.25020513494241,0.0,0.0,4.476419235288631e-13,4906.021658822767,51.25020513494286,0.0,0.0,0.0,4906.021658822767
2025-09-26,140,482.595967914987,482.595967914987,60.93428458165363,0.0,0.0,5.684341886080802e-14,4960.862514946255,60.934284581653685,0.0,0.0,0.0,4960.862514946255
