issue_date,issue_hour,window_position,absolute_date,absolute_t,pv_formal_kwh,pv_historical_kwh,actual_pv_kwh,error_formal_kwh,error_historical_kwh
2025-01-20,0,95,2025-01-20,95,407.42415,339.15601336898396,365.92366666666663,-41.500483333333364,26.76765329768267
2025-01-20,0,96,2025-01-20,96,407.42415,295.762165775401,313.34375,-94.0804,17.581584224599
2025-01-20,0,97,2025-01-20,97,141.91575833333332,246.32260124777184,255.58538333333334,113.66962500000002,9.262782085561497
2025-01-20,0,98,2025-01-20,98,141.91575833333332,196.15948680926914,205.21409999999997,63.29834166666666,9.054613190730834
2025-01-20,0,99,2025-01-20,99,141.91575833333332,149.8483622994652,162.36874999999998,20.452991666666662,12.52038770053477
2025-01-20,0,100,2025-01-20,100,141.91575833333332,107.14245,115.89486666666666,-26.020891666666657,8.752416666666662
2025-01-20,0,101,2025-01-20,101,141.91575833333332,63.19580080213903,66.77844999999999,-75.13730833333332,3.5826491978609596
2025-01-20,0,102,2025-01-20,102,141.91575833333332,24.165741978609624,25.39375,-116.52200833333332,1.2280080213903766
2025-01-20,0,103,2025-01-20,103,10.133191666666667,3.7107009803921573,4.1436166666666665,-5.989575,0.43291568627450916
2025-01-20,0,104,2025-01-20,104,10.133191666666667,0.0,0.0,-10.133191666666667,0.0
2025-01-20,0,105,2025-01-20,105,10.133191666666667,0.0,0.0,-10.133191666666667,0.0
2025-01-20,0,106,2025-01-20,106,10.133191666666667,0.20190695187165777,0.22996666666666665,-9.903225,0.028059714795008878
2025-01-20,0,107,2025-01-20,107,10.133191666666667,0.0,0.0,-10.133191666666667,0.0
2025-01-20,0,108,2025-01-20,108,10.133191666666667,0.0,0.0,-10.133191666666667,0.0
2025-01-20,0,109,2025-01-20,109,0.0,0.014496524064171122,0.016516666666666666,0.016516666666666666,0.002020142602495544
2025-01-20,0,110,2025-01-20,110,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,111,2025-01-20,111,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,112,2025-01-20,112,0.0,0.001037344028520499,0.0011833333333333333,0.0011833333333333333,0.00014598930481283428
2025-01-20,0,113,2025-01-20,113,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,114,2025-01-20,114,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,115,2025-01-20,115,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,116,2025-01-20,116,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,117,2025-01-20,117,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,118,2025-01-20,118,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,119,2025-01-20,119,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,120,2025-01-20,120,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,121,2025-01-20,121,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,122,2025-01-20,122,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,123,2025-01-20,123,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,124,2025-01-20,124,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,125,2025-01-20,125,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,126,2025-01-20,126,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,127,2025-01-20,127,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,128,2025-01-20,128,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,129,2025-01-20,129,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,130,2025-01-20,130,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,131,2025-01-20,131,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,132,2025-01-20,132,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,133,2025-01-20,133,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,134,2025-01-20,134,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,135,2025-01-20,135,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,136,2025-01-20,136,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,137,2025-01-20,137,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,138,2025-01-20,138,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,139,2025-01-20,139,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,140,2025-01-20,140,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,141,2025-01-20,141,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,142,2025-01-20,142,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,143,2025-01-20,143,0.0,0.0,0.0,0.0,0.0
2025-01-20,0,144,2025-01-20,144,0.0,0.0,0.0,0.0,0.0
2025-01-20,6,1,2025-01-20,37,12.504033333333332,0.0,0.0,-12.504033333333332,0.0
2025-01-20,6,2,2025-01-20,38,12.504033333333332,0.2174516042780749,0.25353333333333333,-12.250499999999999,0.036081729055258444
2025-01-20,6,3,2025-01-20,39,12.504033333333332,0.0,0.0,-12.504033333333332,0.0
2025-01-20,6,4,2025-01-20,40,12.504033333333332,0.0,0.0,-12.504033333333332,0.0
2025-01-20,6,5,2025-01-20,41,12.504033333333332,3.9619254901960788,4.46085,-8.043183333333332,0.498924509803921
2025-01-20,6,6,2025-01-20,42,12.504033333333332,25.09538770053476,25.099999999999998,12.595966666666666,0.004612299465236447
2025-01-20,6,7,2025-01-20,43,141.27296666666666,64.96955035650625,61.12701666666666,-80.14595,-3.842533689839584
2025-01-20,6,8,2025-01-20,44,141.27296666666666,111.69780267379679,98.61829999999999,-42.65466666666667,-13.079502673796796
2025-01-20,6,9,2025-01-20,45,141.27296666666666,159.9055815508021,134.6875,-6.585466666666662,-25.21808155080211
2025-01-20,6,10,2025-01-20,46,141.27296666666666,211.5548762923351,177.02301666666665,35.75004999999999,-34.53185962566846
2025-01-20,6,11,2025-01-20,47,141.27296666666666,256.19640721925134,217.63145,76.35848333333334,-38.56495721925134
2025-01-20,6,12,2025-01-20,48,141.27296666666666,296.2503676470588,257.2,115.92703333333333,-39.050367647058806
2025-01-20,6,13,2025-01-20,49,405.3046166666666,345.80799233511584,304.6535833333333,-100.65103333333332,-41.15440900178254
2025-01-20,6,14,2025-01-20,50,405.3046166666666,401.4279789661319,351.27098333333333,-54.033633333333285,-50.156995632798555
2025-01-20,6,15,2025-01-20,51,405.3046166666666,458.2780080213903,394.03749999999997,-11.267116666666652,-64.24050802139033
2025-01-20,6,16,2025-01-20,52,405.3046166666666,513.3358879679143,438.7632166666666,33.45859999999999,-74.57267130124774
2025-01-20,6,17,2025-01-20,53,405.3046166666666,558.5810643493761,485.6854833333333,80.38086666666669,-72.8955810160428
2025-01-20,6,18,2025-01-20,54,405.3046166666666,594.6468248663101,537.1999999999999,131.8953833333333,-57.44682486631018
2025-01-20,6,19,2025-01-20,55,702.2534333333333,630.7523274509804,593.8009333333333,-108.45249999999999,-36.951394117647055
2025-01-20,6,20,2025-01-20,56,702.2534333333333,670.4603744206773,635.0544,-67.19903333333332,-35.40597442067735
2025-01-20,6,21,2025-01-20,57,702.2534333333333,710.1849264705884,665.6374999999999,-36.61593333333337,-44.54742647058845
2025-01-20,6,22,2025-01-20,58,702.2534333333333,741.8828614081995,712.5952166666666,10.341783333333296,-29.28764474153286
2025-01-20,6,23,2025-01-20,59,702.2534333333333,762.7413558823529,770.8485833333334,68.5951500000001,8.107227450980531
2025-01-20,6,24,2025-01-20,60,702.2534333333333,783.9771390374332,825.53125,123.2778166666667,41.554110962566824
2025-01-20,6,25,2025-01-20,61,924.0472249999999,820.7221564171123,861.4814666666666,-62.56575833333329,40.759310249554346
2025-01-20,6,26,2025-01-20,62,924.0472249999999,854.2480414438503,869.8732,-54.174024999999915,15.6251585561497
2025-01-20,6,27,2025-01-20,63,924.0472249999999,882.6950868983957,885.0562499999999,-38.99097500000005,2.36116310160412
2025-01-20,6,28,2025-01-20,64,924.0472249999999,920.1891513368984,949.8770333333333,25.829808333333403,29.687881996434953
2025-01-20,6,29,2025-01-20,65,924.0472249999999,944.2791785204992,979.81275,55.76552500000014,35.53357147950089
2025-01-20,6,30,2025-01-20,66,924.0472249999999,954.313669786096,970.64375,46.59652500000004,16.330080213903898
2025-01-20,6,31,2025-01-20,67,1078.9619500000001,972.6554831550801,998.1872666666666,-80.77468333333354,25.531783511586468
2025-01-20,6,32,2025-01-20,68,1078.9619500000001,989.2450078431373,1011.1469666666667,-67.81498333333343,21.901958823529412
2025-01-20,6,33,2025-01-20,69,1078.9619500000001,995.0079211229944,996.83125,-82.13070000000016,1.8233288770055651
2025-01-20,6,34,2025-01-20,70,1078.9619500000001,993.2362658645277,1006.4735000000001,-72.48845000000006,13.237234135472363
2025-01-20,6,35,2025-01-20,71,1078.9619500000001,998.060971479501,1057.8823333333332,-21.07961666666688,59.821361853832286
2025-01-20,6,36,2025-01-20,72,1078.9619500000001,1005.9550802139037,1099.6062499999998,20.644299999999703,93.65116978609615
2025-01-20,6,37,2025-01-20,73,1096.1307333333334,1001.7416508912656,1059.4625833333332,-36.668150000000196,57.72093244206758
2025-01-20,6,38,2025-01-20,74,1096.1307333333334,1003.348361942959,1019.1896499999999,-76.9410833333335,15.84128805704097
2025-01-20,6,39,2025-01-20,75,1096.1307333333334,1006.4609959893048,1017.2749999999999,-78.85573333333355,10.814004010695044
