date,scenario_count,plan_energy_kwh,plan_cost_yuan,dp_emergency_energy_kwh,dp_emergency_cost_yuan,dp_total_cost_yuan,dp_initial_soc_kwh,dp_terminal_soc_kwh,dp_charge_kwh,dp_discharge_kwh,dp_unused_kwh,dp_max_balance_residual_kwh,dp_max_soc_residual_kwh,dp_max_convexity_violation,analytical_emergency_energy_kwh,analytical_emergency_cost_yuan,analytical_total_cost_yuan,analytical_initial_soc_kwh,analytical_terminal_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_unused_kwh,analytical_max_balance_residual_kwh,analytical_max_soc_residual_kwh
2025-03-19,30,65515.06550716962,40091.7690631212,0.0,0.0,40091.7690631212,10058.487533045723,10032.592005626035,20927.76025608823,16974.79178210919,2096.6265831905744,9.983125437429408e-13,1.1368683772161603e-13,1.8189894035458565e-12,0.0,0.0,40091.7690631212,10058.487533045723,10032.592005626035,20927.76025608823,16974.791782109183,2096.626583190574,0.0,8.970602038971265e-13
2025-03-20,30,64656.64887434807,39639.12649345027,1131.5868247745254,6178.081747821417,45817.208241271685,10032.592005626035,9833.904810120033,19762.12149319132,16186.136885440374,3.289274704980585,1.0089706847793423e-12,5.684341886080802e-14,1.4557244298885053e-12,1131.5868247745293,7692.853475451258,47331.97996890153,10032.592005626035,9833.904810120033,19762.121493191327,16186.136885440368,3.289274704980471,0.0,9.094947017729282e-13
2025-03-21,30,30718.316126163085,15799.739953526854,34.72210045406919,126.7330672687858,15926.47302079564,9833.904810120033,10143.989636465181,20231.626664761992,16108.541254746584,14596.488299935078,9.601208716958354e-13,5.684341886080802e-14,1.4557244298885053e-12,34.72210045406919,126.7330672687858,15926.47302079564,9833.904810120033,10143.989636465181,20231.626664761992,16108.541254746582,14596.48829993508,0.0,9.094947017729282e-13
2025-03-22,30,30135.041891481127,15404.362632897359,0.0,0.0,15404.362632897359,10143.989636465181,9889.848830615885,19483.39396781466,16010.275839194239,10780.724029527375,8.970602038971265e-13,5.684341886080802e-14,2.183142555622908e-12,0.0,0.0,15404.362632897359,10143.989636465181,9889.848830615885,19483.393967814656,16010.275839194237,10780.724029527375,0.0,9.094947017729282e-13
2025-03-23,30,65917.87059389378,40305.08342340163,0.0,0.0,40305.08342340163,9889.848830615885,9808.015412460933,19859.007983071788,16159.446542627607,3448.5890367829297,9.450218385609332e-13,1.4210854715202004e-14,1.8189894035458565e-12,0.0,0.0,40305.08342340163,9889.848830615885,9808.015412460933,19859.007983071788,16159.446542627606,3448.5890367829293,0.0,9.094947017729282e-13
2025-03-24,30,64829.99012555522,39581.60448741769,0.0,0.0,39581.60448741769,9808.015412460933,9885.901569371234,19696.52130841006,15884.084718592881,3019.056452404713,9.974243653232406e-13,1.1368683772161603e-13,1.8189894035458565e-12,0.0,0.0,39581.60448741769,9808.015412460933,9885.901569371234,19696.52130841006,15884.084718592881,3019.056452404712,0.0,8.979483823168266e-13
2025-03-25,30,64205.05773567324,39193.96531338006,469.6120435562794,2581.971064607844,41775.936377987906,9885.901569371234,9646.59559040641,20364.57762684229,16710.683258810597,70.65069453117451,9.947598300641403e-13,5.684341886080802e-14,1.8189894035458565e-12,469.6120435562824,3178.0061318613893,42371.97144524145,9885.901569371234,9646.59559040641,20364.57762684229,16710.683258810597,70.65069453117326,0.0,9.094947017729282e-13
2025-03-26,30,65622.80260521863,39996.279940285705,0.0,0.0,39996.279940285705,9646.59559040641,10111.729720677291,19440.652560300725,15328.307856599793,5917.903034851042,9.592326932761353e-13,1.1368683772161603e-13,2.9105606813573104e-12,0.0,0.0,39996.279940285705,9646.59559040641,10111.729720677291,19440.65256030072,15328.307856599793,5917.903034851043,0.0,9.094947017729282e-13
2025-03-27,30,62772.04765905685,38283.299325682725,44.19052904370274,171.54763374765403,38454.84695943038,10111.729720677291,9846.32646962738,20376.023099077884,16743.441636198004,466.6673252206831,9.734435479913373e-13,1.1368683772161603e-13,1.4557244298885053e-12,44.19052904370274,171.54763374765403,38454.84695943038,10111.729720677291,9846.32646962738,20376.023099077884,16743.441636198004,466.6673252206824,0.0,8.846257060213247e-13
2025-03-28,30,30016.39543683837,15194.750366567572,0.0,0.0,15194.750366567572,9846.32646962738,10314.400017082147,20378.90221890132,16085.644604600777,14901.257055871161,8.331113576787175e-13,1.4210854715202004e-14,2.9105606813573104e-12,0.0,0.0,15194.750366567572,9846.32646962738,10314.400017082147,20378.90221890132,16085.644604600777,14901.257055871165,0.0,9.094947017729282e-13
2025-03-29,30,29153.690839538027,14699.959122992645,128.19700743627095,739.7281378841942,15439.687260876839,10314.400017082147,9561.149943917018,19521.224475791394,16490.116891239646,18543.571079089215,7.958078640513122e-13,5.684341886080802e-14,2.183142555622908e-12,128.19700743627095,739.7281378841942,15439.687260876839,10314.400017082147,9561.149943917018,19521.224475791398,16490.11689123965,18543.571079089215,0.0,9.094947017729282e-13
2025-03-30,30,61346.19510699307,37219.75274099827,0.0,0.0,37219.75274099827,9561.149943917018,10150.150498088107,21131.49165300135,16586.407740177114,1455.4914941688419,9.734435479913373e-13,1.4210854715202004e-14,1.4557244298885053e-12,0.0,0.0,37219.75274099827,9561.149943917018,10150.150498088107,21131.49165300135,16586.407740177117,1455.4914941688417,0.0,9.094947017729282e-13
2025-03-31,30,60343.81512541311,36575.43735058924,184.38623036076208,878.4544019758526,37453.8917525651,10150.150498088107,9840.610253809496,19300.39534713135,15911.906451027144,188.32297633633732,1.0089706847793423e-12,1.1368683772161603e-13,2.1822543772032077e-12,168.79718239950253,1079.4310862868658,37654.86843687611,10150.150498088107,9838.521164408096,19317.31987490913,15927.495498988406,171.3984485585595,0.0,9.094947017729282e-13
2025-04-01,30,61531.009877728866,37148.35133719441,2060.2955536262834,13080.384565771274,50228.73590296568,9840.610253809496,9734.373079190362,18305.617746556378,14923.16383186789,0.0,9.379164112033322e-13,5.684341886080802e-14,2.183142555622908e-12,2062.175734087541,14029.81953756059,51178.170874755,9838.521164408096,9734.373079190362,18305.617746556378,14921.28365140663,0.0,0.0,8.846257060213247e-13
2025-04-02,30,64381.32221701342,38532.11227392956,1579.807997955896,7875.160570664998,46407.27284459456,9734.373079190362,9929.560600610705,21420.975035010248,17175.321009079995,1280.1407890390665,1.0125233984581428e-12,1.1368683772161603e-13,1.8189894035458565e-12,1579.807997955896,7874.530570664998,46406.64284459456,9734.373079190362,9929.560600610705,21420.975035010255,17175.321009079995,1280.140789039066,0.0,9.094947017729282e-13
2025-04-03,30,65475.16272902287,39356.5032912245,0.0,0.0,39356.5032912245,9929.560600610705,9977.848414539265,19584.325643035845,15819.844738323329,5847.1515576437,9.983125437429408e-13,5.684341886080802e-14,2.183142555622908e-12,0.0,0.0,39356.5032912245,9929.560600610705,9977.848414539265,19584.325643035845,15819.84473832333,5847.151557643701,0.0,9.094947017729282e-13
2025-04-04,30,29190.531885504945,14605.58838617918,0.0,0.0,14605.58838617918,9977.848414539265,10358.165091734474,19941.847685070446,15810.611615431375,18628.493565865872,8.748557434046234e-13,7.105427357601002e-15,1.4557244298885053e-12,0.0,0.0,14605.58838617918,9977.848414539265,10358.165091734474,19941.847685070446,15810.611615431375,18628.493565865876,0.0,9.094947017729282e-13
2025-04-05,30,28440.26928215691,14156.551235905943,698.0093306598696,3575.105467141728,17731.656703047673,10358.165091734474,9441.391744041235,18478.380741269615,15792.584413352304,14408.36730156613,9.663381206337363e-13,5.684341886080802e-14,2.9105606813573104e-12,64.53135265986711,275.6896437273725,14432.240879633315,10358.165091734474,9441.391744041235,19260.452319047392,16426.062391352305,13626.295723788353,0.0,8.952838470577262e-13
2025-04-06,30,62187.9719160674,37623.73452337949,0.0,0.0,37623.73452337949,9441.391744041235,10163.822901189753,20035.987119755882,15578.961525568597,3320.8700552134546,1.0231815394945443e-12,2.842170943040401e-14,2.183142555622908e-12,0.0,0.0,37623.73452337949,9441.391744041235,10163.822901189753,20035.987119755882,15578.961525568597,3320.870055213455,0.0,9.094947017729282e-13
2025-04-07,30,60397.53776129663,36588.755013536254,0.0,0.0,36588.755013536254,10163.822901189753,10170.044419397342,18726.265760490078,15162.675899610134,3591.2286170833568,9.983125437429408e-13,1.1368683772161603e-13,2.183142555622908e-12,0.0,0.0,36588.755013536254,10163.822901189753,10170.044419397342,18726.26576049009,15162.675899610138,3591.228617083356,0.0,9.094947017729282e-13
2025-04-08,30,59961.710997789036,36024.93602031028,353.3915831026581,2283.6076762039074,38308.543696514185,10170.044419397342,9635.137596099545,20924.940450477206,17430.617905854557,2467.5864196023767,9.2192919964873e-13,5.684341886080802e-14,2.183142555622908e-12,353.39158310265805,2337.1771890333403,38362.11320934362,10170.044419397342,9635.137596099545,20924.94045047721,17430.617905854553,2467.5864196023763,0.0,9.094947017729282e-13
2025-04-09,30,60304.012444512075,36686.20553331621,2224.8130151853647,13824.016878808987,50510.2224121252,9635.137596099545,9720.739403735792,17384.237500792093,14004.190748768975,14.467691007644817,1.0231815394945443e-12,1.1368683772161603e-13,1.8189894035458565e-12,2224.813015185364,15122.180699340148,51808.38623265636,9635.137596099545,9720.739403735792,17384.2375007921,14004.190748768979,14.467691007644703,0.0,9.094947017729282e-13
2025-04-10,30,62973.23387000613,38086.425558184346,0.0,0.0,38086.425558184346,9720.739403735792,10286.2958265048,20541.903656848845,16129.941181555458,4100.633494712745,9.734435479913373e-13,2.842170943040401e-14,1.637801005927031e-12,0.0,0.0,38086.425558184346,9720.739403735792,10286.2958265048,20541.90365684885,16129.941181555456,4100.633494712743,0.0,9.094947017729282e-13
2025-04-11,30,28759.103508355045,14442.534983813903,0.0,0.0,14442.534983813903,10286.2958265048,10311.266792167575,19725.814754265783,15955.436081858787,19672.074669281377,1.0231815394945443e-12,1.4210854715202004e-14,2.9105606813573104e-12,0.0,0.0,14442.534983813903,10286.2958265048,10311.266792167575,19725.814754265783,15955.436081858785,19672.074669281377,0.0,9.094947017729282e-13
