target_date,initial_soc_kwh,objective_value,plan_energy_kwh,plan_cost_yuan,scenario_count,status,solve_seconds,highs_objective,highs_max_primal_infeasibility,highs_num_primal_infeasibilities,simplex_iterations,ipm_iterations,mip_gap,tiebreak_used,binary_fallback_used,max_balance_residual_kwh,max_soc_residual_kwh,max_simultaneous_product_kwh2,min_variable_value_kwh,min_soc_kwh,max_soc_kwh,max_charge_kwh,max_discharge_kwh,purpose
2025-03-04,9505.76871496098,44283.45622364974,77912.36767989906,48468.85014212467,30,Optimal,0.7020454000012251,44283.4562236497,0.0,0,13107,0,,False,False,1.1368683772161603e-13,2.6147972675971687e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-05,9957.929404726106,42900.32155402421,76069.17695510779,47095.841981449616,30,Optimal,0.7665037999977358,42900.321554024194,0.0,0,13030,0,,False,False,1.1368683772161603e-13,2.3305801732931286e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-06,9975.010573326157,41043.23567198185,73341.58818207923,45223.075672620194,30,Optimal,0.6500236000138102,41043.23567198185,0.0,0,12326,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-07,9920.904818001942,12241.533998071292,32608.314697019698,16899.029894875795,30,Optimal,0.25376870000036433,12241.533998071294,0.0,0,10094,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-08,10146.984058376851,11540.848667739698,31197.423344494935,16217.328207888833,30,Optimal,0.2406967999995686,11540.848667739698,0.0,0,10134,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-09,9899.783881678408,39177.23264597248,70647.79561195883,43359.173231999346,30,Optimal,0.5869393999892054,39177.232645972486,0.0,0,13148,0,,False,False,1.1368683772161603e-13,9.094947017729282e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-10,9851.587939018318,38480.94591464237,69508.33419687659,42695.725668365485,30,Optimal,0.6700196000019787,38480.945914642376,0.0,0,12494,0,,False,False,1.1368683772161603e-13,1.7053025658242404e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-11,9486.727305426592,39810.06473559271,71930.71324484047,43880.79181949301,30,Optimal,0.6275694999931147,39810.06473559268,0.0,0,13009,0,,False,False,1.1368683772161603e-13,1.3891110484109959e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-12,9975.10383857523,38760.165904612324,69962.05759761493,42788.034972521345,30,Optimal,0.6459274000080768,38760.16590461233,0.0,0,12625,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-13,9506.960143991468,38288.2399748467,69360.86763988069,42323.2293344732,30,Optimal,0.6113460999913514,38288.23997484664,0.0,0,12894,0,,False,False,1.1368683772161603e-13,2.2737367544323206e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-14,9806.967532787225,11391.859698558734,31091.5944762332,16083.235763739005,30,Optimal,0.24326669999572914,11391.859698558734,0.0,0,10006,0,,False,False,1.1368683772161603e-13,9.663381206337363e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-15,10240.604529645332,11074.283866949943,30436.865266052337,15747.15935893378,30,Optimal,0.24580970000533853,11074.283866949945,0.0,0,10053,0,,False,False,1.1368683772161603e-13,9.237055564881302e-13,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-16,9406.833149847529,39742.29226840522,71646.9837003318,43689.29050200549,30,Optimal,0.6913219999987632,39742.29226840522,0.0,0,13144,0,,False,False,1.1368683772161603e-13,1.0231815394945443e-12,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-17,10109.64930341195,38396.19970748009,69180.21371235576,42286.111464940965,30,Optimal,0.6273016999912215,38396.19970748009,1.0913492332065289e-12,0,12554,0,,False,False,2.0691004465334117e-11,6.064482249712455e-12,0.0,-1.0913492332065289e-12,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
2025-03-18,10084.837211770577,36149.152496614704,65860.23398174837,40139.471436782595,30,Optimal,0.5930089999892516,36149.15249661471,0.0,0,11919,0,,False,False,1.2391865311656147e-11,1.3287149158713873e-11,0.0,0.0,1200.0,10800.0,833.3333333333334,833.3333333333334,formal_output
