date,t,source_right_end_label,physical_interval,price_yuan_per_kwh,actual_load_kwh,actual_pv_kwh,forecast_load_kwh,forecast_pv_kwh,plan_grid_kwh,dp_charge_kwh,dp_discharge_kwh,dp_emergency_kwh,dp_unused_kwh,dp_end_soc_kwh,analytical_charge_kwh,analytical_discharge_kwh,analytical_emergency_kwh,analytical_unused_kwh,analytical_end_soc_kwh
2025-10-05,2,00:20,0:10-0:20,0.4245,588.0681833333333,0.0,566.0961060456176,0.0,1399.0936054437884,811.0254221104555,0.0,0.0,0.0,7307.756854633247,811.0254221104551,0.0,0.0,0.0,7307.756854633247
2025-10-05,3,00:30,0:20-0:30,0.4269,588.5233333333333,0.0,558.7195978222132,0.0,1390.8562794924883,802.3329461591553,0.0,0.0,0.0,8029.856506176487,802.332946159155,0.0,0.0,0.0,8029.856506176487
2025-10-05,4,00:40,0:30-0:40,0.4272,578.5431833333333,0.0,575.0698038263539,0.0,1254.796402482869,676.2532191495352,0.0,0.0,0.0,8638.484403411068,676.2532191495358,0.0,0.0,0.0,8638.484403411068
2025-10-05,5,00:50,0:40-0:50,0.4271,586.9272333333333,0.0,576.2293420776941,0.0,1376.5129286311867,789.5856952978526,0.0,0.0,0.0,9349.111529179136,789.5856952978534,0.0,0.0,0.0,9349.111529179136
2025-10-05,6,01:00,0:50-1:00,0.4285,613.165,0.0,564.8133975292243,0.0,598.5167552523593,0.0,14.648244747640637,0.0,0.0,9332.835701681757,0.0,14.64824474764066,0.0,0.0,9332.835701681757
2025-10-05,7,01:10,1:00-1:10,0.4311,622.3339833333333,0.0,579.6388898549696,0.0,628.7187573574297,6.384774024095855,0.0,0.0,0.0,9338.581998303443,6.384774024096373,0.0,0.0,0.0,9338.581998303443
2025-10-05,8,01:20,1:10-1:20,0.4302,602.7973333333333,0.0,586.4030484604864,0.0,636.6497833390645,33.85245000573074,0.0,0.0,0.0,9369.049203308601,33.85245000573116,0.0,0.0,0.0,9369.049203308601
2025-10-05,9,01:30,1:20-1:30,0.4279,573.0533333333333,0.0,575.7163860120428,0.0,633.0291557085336,59.97582237519964,0.0,0.0,0.0,9423.02744344628,59.97582237520032,0.0,0.0,0.0,9423.02744344628
2025-10-05,10,01:40,1:30-1:40,0.4312,566.5576333333333,0.0,573.7416877279628,0.0,629.1664492802358,62.60881594690242,0.0,0.0,0.0,9479.375377798493,62.608815946902496,0.0,0.0,0.0,9479.375377798493
2025-10-05,11,01:50,1:40-1:50,0.4333,580.6811499999999,0.0,574.2515829300271,0.0,592.3630888318268,11.681938831827413,0.0,0.0,0.0,9489.889122747138,11.68193883182687,0.0,0.0,0.0,9489.889122747138
2025-10-05,12,02:00,1:50-2:00,0.4311,594.05,0.0,575.8532473916681,0.0,611.3566880913197,17.3066880913191,0.0,0.0,0.0,9505.465142029325,17.306688091319756,0.0,0.0,0.0,9505.465142029325
2025-10-05,13,02:10,2:00-2:10,0.4293,586.3095833333333,0.0,587.5977598017912,0.0,606.7202671715486,20.410683838215643,0.0,0.0,0.0,9523.834757483719,20.410683838215277,0.0,0.0,0.0,9523.834757483719
2025-10-05,14,02:20,2:10-2:20,0.4324,578.3092833333333,0.0,606.0275570944169,0.0,652.9590682737132,74.64978494037899,0.0,0.0,0.0,9591.01956393006,74.64978494037996,0.0,0.0,0.0,9591.01956393006
2025-10-05,15,02:30,2:20-2:30,0.4367,584.97,0.0,610.0584988317307,0.0,643.4572181637885,58.48721816378909,0.0,0.0,0.0,9643.65806027747,58.4872181637885,0.0,0.0,0.0,9643.65806027747
2025-10-05,16,02:40,2:30-2:40,0.4348,602.9040833333333,0.0,583.7608647105424,0.0,592.4081991199073,0.0,10.49588421342669,0.0,0.0,9631.995966706996,0.0,10.495884213426052,0.0,0.0,9631.995966706996
2025-10-05,17,02:50,2:40-2:50,0.4335,620.4971166666667,0.0,585.6059634256595,0.0,617.668500348947,0.0,2.8286163177193884,0.0,0.0,9628.853059687308,0.0,2.828616317719707,0.0,0.0,9628.853059687308
2025-10-05,18,03:00,2:50-3:00,0.4357,616.8333333333333,0.0,610.3695828663226,0.0,653.0247077180379,36.191374384705135,0.0,0.0,0.0,9661.425296633543,36.19137438470466,0.0,0.0,0.0,9661.425296633543
2025-10-05,19,03:10,3:00-3:10,0.4374,583.3098333333332,0.0,597.5262645608283,0.0,640.9975694887629,57.687736155429675,0.0,0.0,0.0,9713.34425917343,57.68773615542966,0.0,0.0,0.0,9713.34425917343
2025-10-05,20,03:20,3:10-3:20,0.4371,586.21525,0.0,592.4410416062991,0.0,619.1950490171125,32.97979901711288,0.0,0.0,0.0,9743.02607828883,32.979799017112555,0.0,0.0,0.0,9743.02607828883
2025-10-05,21,03:30,3:20-3:30,0.4356,618.3483333333334,0.0,606.0062713210885,0.0,636.3130706683896,17.964737335055865,0.0,0.0,0.0,9759.194341890381,17.96473733505627,0.0,0.0,0.0,9759.194341890381
2025-10-05,22,03:40,3:30-3:40,0.4353,608.3888166666666,0.0,602.3210619179881,0.0,661.6181097698392,53.229293103173,0.0,0.0,0.0,9807.100705683237,53.22929310317261,0.0,0.0,0.0,9807.100705683237
2025-10-05,23,03:50,3:40-3:50,0.436,595.8313666666666,0.0,603.983457986397,0.0,639.6940063050897,43.86263963842389,0.0,0.0,0.0,9846.577081357818,43.86263963842316,0.0,0.0,0.0,9846.577081357818
2025-10-05,24,04:00,3:50-4:00,0.4378,605.9649999999999,0.0,609.4521837679126,0.0,621.0787136758581,15.113713675857273,0.0,0.0,0.0,9860.17942366609,15.113713675858207,0.0,0.0,0.0,9860.17942366609
2025-10-05,25,04:10,4:00-4:10,0.4401,620.3444499999999,0.0,594.9093003196517,0.0,633.0468821275414,12.702432127540911,0.0,0.0,0.0,9871.611612580877,12.702432127541442,0.0,0.0,0.0,9871.611612580877
2025-10-05,26,04:20,4:10-4:20,0.4389,618.5185333333333,0.00031666666666666665,602.3842288378042,0.0,633.1906207237321,14.672404057065352,0.0,0.0,0.0,9884.816776232235,14.672404057065478,0.0,0.0,0.0,9884.816776232235
2025-10-05,27,04:30,4:20-4:30,0.4364,608.1466666666666,0.0,626.6296578949557,0.0,645.9780414120225,37.8313747453568,0.0,0.0,0.0,9918.865013503057,37.8313747453559,0.0,0.0,0.0,9918.865013503057
2025-10-05,28,04:40,4:30-4:40,0.4393,616.25825,0.0,617.8566099025319,0.0,656.0428047748857,39.784554774885486,0.0,0.0,0.0,9954.671112800454,39.78455477488569,0.0,0.0,0.0,9954.671112800454
2025-10-05,29,04:50,4:40-4:50,0.4422,634.4924666666666,0.004316666666666667,603.5468945843867,0.00012818181818181678,648.7209673555352,14.232817355534483,0.0,0.0,0.0,9967.480648420435,14.232817355535303,0.0,0.0,0.0,9967.480648420435
2025-10-05,30,05:00,4:50-5:00,0.4395,638.2983333333333,0.0,602.7506201171354,0.0,622.8308279388154,0.0,15.467505394518412,0.0,0.0,9950.294531315414,0.0,15.467505394517843,0.0,0.0,9950.294531315414
2025-10-05,31,05:10,5:00-5:10,0.4333,612.73745,0.0,606.2601988397303,0.0,624.2997737486113,11.56232374861146,0.0,0.0,0.0,9960.700622689164,11.562323748611334,0.0,0.0,0.0,9960.700622689164
2025-10-05,32,05:20,5:10-5:20,0.4439,606.0250166666666,0.060149999999999995,605.4719655457327,0.0018244444444444376,622.4903190000257,16.52545233335938,0.0,0.0,0.0,9975.573529789188,16.525452333359112,0.0,0.0,0.0,9975.573529789188
2025-10-05,33,05:30,5:20-5:30,0.4301,604.2149999999999,0.0,588.0662376409861,0.0,627.236699843321,23.021699843320675,0.0,0.0,0.0,9996.293059648176,23.02169984332113,0.0,0.0,0.0,9996.293059648176
2025-10-05,34,05:40,5:30-5:40,0.3713,565.71295,0.0,567.6031229492738,0.0,1371.4997412443165,805.786791244316,0.0,0.0,0.0,10721.50117176806,805.7867912443165,0.0,0.0,0.0,10721.50117176806
2025-10-05,35,05:50,5:40-5:50,0.5708,640.0804499999999,0.83785,667.8931513261969,0.0,675.372631208044,36.13003120804327,0.0,0.0,0.0,10754.0181998553,36.1300312080441,0.0,0.0,0.0,10754.0181998553
2025-10-05,36,06:00,5:50-6:00,0.9099,789.8833333333333,0.0,813.1389406109092,0.0,39.84946833676497,0.0,750.0338649965676,0.0,0.0,9920.647238748003,0.0,750.0338649965684,0.0,0.0,9920.647238748003
2025-10-05,37,06:10,6:00-6:10,0.9368,814.7683999999999,0.0,793.4953775879027,0.0,24.158501351833934,0.0,790.6098986481655,0.0,0.0,9042.191795805596,0.0,790.609898648166,0.0,0.0,9042.191795805596
2025-10-05,38,06:20,6:10-6:20,0.8758,800.9340166666666,19.639966666666666,763.8679626321826,17.85189287878787,0.0,0.0,781.2940499999995,0.0,0.0,8174.087295805597,0.0,781.29405,0.0,0.0,8174.087295805597
2025-10-05,39,06:30,6:20-6:30,0.8759,810.0433333333333,74.49374999999999,792.5650715138157,68.70729166666665,0.0,0.0,735.549583333333,0.0,0.0,7356.809980990783,0.0,735.5495833333333,0.0,0.0,7356.809980990783
2025-10-05,40,06:40,6:30-6:40,0.8601,812.5473833333333,134.92156666666665,796.279989614036,122.52779858585858,0.0,0.0,677.6258166666665,0.0,0.0,6603.892406916709,0.0,677.6258166666667,0.0,0.0,6603.892406916709
2025-10-05,41,06:50,6:40-6:50,0.8442,808.8507166666666,193.97831666666664,803.9375847559758,178.31050696969697,65.13820992223623,0.0,549.7341900777634,0.0,0.0,5993.076640163638,0.0,549.7341900777637,0.0,0.0,5993.076640163638
2025-10-05,42,07:00,6:50-7:00,0.8334,802.2866666666666,253.16875,819.1151838447079,236.72710227272725,552.5045611971155,3.3866445304485953,0.0,0.0,0.0,5996.124620241042,3.3866445304489616,0.0,0.0,0.0,5996.124620241042
2025-10-05,43,07:10,7:00-7:10,0.8092,795.8694666666667,316.33983333333333,806.591025036976,295.0648213131313,504.60176300036244,25.072129667029607,0.0,0.0,0.0,6018.689536941369,25.072129667029117,0.0,0.0,0.0,6018.689536941369
2025-10-05,44,07:20,7:10-7:20,0.7972,811.1904666666666,382.9031666666666,795.4075476908778,354.8626888383838,424.80620023811684,0.0,3.481099761882797,0.0,0.0,6014.8216483170545,0.0,3.481099761883115,0.0,0.0,6014.8216483170545
2025-10-05,45,07:30,7:20-7:30,0.7644,812.5333333333333,443.43125,783.8324509488564,418.0761931818182,353.5549747540972,0.0,15.547108579235738,0.0,0.0,5997.547083229015,0.0,15.547108579236124,0.0,0.0,5997.547083229015
2025-10-05,46,07:40,7:30-7:40,0.6899,767.9541333333333,488.2606166666667,766.1077109016255,483.8143875252525,353.1798545839729,73.48633791730612,0.0,0.0,0.0,6063.68478735459,73.48633791730629,0.0,0.0,0.0,6063.68478735459
2025-10-05,47,07:50,7:40-7:50,0.86,893.3525,536.83295,898.1018028172981,543.2413416666666,0.0,0.0,356.5195499999998,0.0,0.0,5667.551954021257,0.0,356.51955,0.0,0.0,5667.551954021257
2025-10-05,48,08:00,7:50-8:00,1.1617,1119.1516666666666,599.4749999999999,1102.061232735809,600.5298484848483,0.0,0.0,519.676666666667,0.0,0.0,5090.133435502738,0.0,519.6766666666667,0.0,0.0,5090.133435502738
